episode,length,total_reward,avg_q,exploration
71,200,-200.0,-89.700195,0.7017939424740103
72,200,-200.0,-90.016014,0.6983024303223984
73,200,-200.0,-89.57537,0.6948282888780084
74,200,-200.0,-89.53678,0.6913714317194114
75,200,-200.0,-89.603806,0.6879317728551358
76,200,-200.0,-89.401596,0.6845092267215283
77,200,-200.0,-89.01936,0.6811037081806252
78,200,-200.0,-88.98635,0.6777151325180351
79,200,-200.0,-89.98253,0.674343415440831
80,200,-200.0,-92.67671,0.6709884730754538
81,200,-200.0,-94.1995,0.6676502219656257
82,200,-200.0,-94.44353,0.6643285790702744
83,200,-200.0,-95.375725,0.6610234617614672
84,200,-200.0,-94.69201,0.6577347878223555
85,200,-200.0,-95.16777,0.6544624754451299
86,200,-200.0,-95.424065,0.651206443228985
87,200,-200.0,-95.75566,0.6479666101780946
88,200,-200.0,-95.47731,0.6447428956995968
89,200,-200.0,-95.37473,0.6415352196015889
90,200,-200.0,-95.4619,0.6383435020911333
91,200,-200.0,-95.9979,0.6351676637722721
92,200,-200.0,-96.33528,0.6320076256440519
93,200,-200.0,-95.87567,0.6288633090985591
94,200,-200.0,-96.03888,0.6257346359189644
95,200,-200.0,-96.345955,0.6226215282775766
96,200,-200.0,-96.01742,0.6195239087339071
97,200,-200.0,-96.40633,0.6164417002327434
98,200,-200.0,-96.467896,0.6133748261022323
99,200,-200.0,-96.685974,0.6103232100519724
100,200,-200.0,-96.4177,0.6072867761711169
101,200,-200.0,-96.88443,0.6042654489264846
102,200,-200.0,-96.51508,0.6012591531606812
103,200,-200.0,-96.96776,0.5982678140902301
104,200,-200.0,-96.697784,0.5952913573037116
105,200,-200.0,-97.088066,0.5923297087599121
106,200,-200.0,-96.66648,0.5893827947859822
107,200,-200.0,-97.09831,0.5864505420756042
108,200,-200.0,-97.04684,0.5835328776871684
109,200,-200.0,-97.39154,0.5806297290419588
110,200,-200.0,-97.23906,0.577741023922347
111,200,-200.0,-97.13573,0.5748666904699972
112,200,-200.0,-96.43599,0.5720066571840768
113,200,-200.0,-95.31372,0.5691608529194795
114,200,-200.0,-94.77336,0.5663292068850543
115,200,-200.0,-95.15211,0.5635116486418451
116,200,-200.0,-95.528946,0.5607081081013385
117,200,-200.0,-96.62925,0.55791851552372
118,200,-200.0,-96.824455,0.5551428015161394
119,200,-200.0,-97.05226,0.5523808970309845
120,200,-200.0,-97.04488,0.5496327333641637
121,200,-200.0,-96.63255,0.5468982421533968
122,200,-200.0,-96.47421,0.5441773553765142
123,200,-200.0,-97.09674,0.5414700053497654
124,200,-200.0,-96.906944,0.5387761247261348
125,200,-200.0,-97.04767,0.5360956464936665
126,200,-200.0,-96.833755,0.5334285039737976
127,200,-200.0,-97.20995,0.5307746308196991
128,200,-200.0,-97.55428,0.5281339610146261
129,200,-200.0,-96.70482,0.5255064288702748
130,200,-200.0,-96.28896,0.5228919690251491
131,200,-200.0,-96.47907,0.5202905164429344
132,200,-200.0,-96.18588,0.5177020064108802
133,200,-200.0,-97.29286,0.5151263745381892
134,200,-200.0,-97.19379,0.5125635567544172
135,200,-200.0,-97.021034,0.5100134893078779
136,200,-200.0,-97.06966,0.5074761087640577
137,200,-200.0,-96.70093,0.5049513520040375
138,200,-200.0,-97.0006,0.5024391562229229
139,200,-200.0,-97.08073,0.49993945892828157
140,200,-200.0,-97.457184,0.4974521979385887
141,200,-200.0,-96.72455,0.49497731138168033
142,200,-200.0,-97.03997,0.4925147376932143
143,200,-200.0,-96.39785,0.49006441561513864
144,200,-200.0,-96.848724,0.48762628419416787
145,200,-200.0,-96.72371,0.4852002827802666
146,200,-200.0,-97.18433,0.48278635102514095
147,200,-200.0,-96.69515,0.4803844288807373
148,200,-200.0,-96.830826,0.4779944565977486
149,200,-200.0,-96.98228,0.475616374724128
150,200,-200.0,-97.01548,0.47325012410361
151,200,-200.0,-97.12844,0.4708956458742389
152,200,-200.0,-97.312805,0.4685528814669044
153,200,-200.0,-97.17328,0.46622177260388503
154,200,-200.0,-97.54397,0.4639022612973981
155,200,-200.0,-97.04115,0.46159428984815737
156,200,-200.0,-96.89134,0.45929780084393773
157,200,-200.0,-96.95991,0.45701273715814705
158,200,-200.0,-96.64309,0.4547390419484051
159,200,-200.0,-96.92595,0.4524766586551295
160,200,-200.0,-96.83431,0.4502255310001289
161,200,-200.0,-97.20478,0.44798560298520296
162,200,-200.0,-96.65363,0.44575681889074925
163,200,-200.0,-96.75321,0.4435391232743774
164,200,-200.0,-96.5161,0.44133246096952977
165,200,-200.0,-96.62172,0.43913677708410925
166,200,-200.0,-96.80729,0.43695201699911373
167,200,-200.0,-97.08496,0.4347781263672774
168,200,-200.0,-97.37233,0.4326150511117189
169,200,-200.0,-97.39577,0.43046273742459595
170,200,-200.0,-97.4859,0.42832113176576714
171,200,-200.0,-97.4324,0.4261901808614599
172,200,-200.0,-97.147095,0.4240698317029452
173,200,-200.0,-96.93296,0.42196003154521916
174,200,-200.0,-96.67429,0.41986072790569073
175,200,-200.0,-96.67368,0.4177718685628764
176,200,-200.0,-96.769226,0.4156934015551009
177,200,-200.0,-96.56315,0.41362527517920494
178,200,-200.0,-96.55269,0.4115674379892587
179,200,-200.0,-96.67641,0.40951983879528236
180,200,-200.0,-96.5017,0.40748242666197254
181,200,-200.0,-95.44856,0.4054551509074354
182,200,-200.0,-95.122765,0.4034379611019258
183,200,-200.0,-96.58693,0.4014308070665929
184,200,-200.0,-96.584656,0.39943363887223177
185,200,-200.0,-96.13966,0.3974464068380416
186,200,-200.0,-95.93571,0.3954690615303897
187,200,-200.0,-95.82554,0.3935015537615818
188,200,-200.0,-95.54225,0.3915438345886387
189,200,-200.0,-95.05637,0.3895958553120783
190,200,-200.0,-96.01994,0.3876575674747048
191,200,-200.0,-96.6039,0.38572892286040283
192,200,-200.0,-95.98202,0.38380987349293816
193,200,-200.0,-93.78006,0.38190037163476437
194,200,-200.0,-95.05526,0.38000036978583523
195,200,-200.0,-94.85733,0.37810982068242316
196,200,-200.0,-93.61344,0.3762286772959435
197,200,-200.0,-93.86764,0.37435689283178464
198,200,-200.0,-94.999535,0.372494420728144
199,200,-200.0,-96.25552,0.37064121465486966
200,200,-200.0,-96.20784,0.3687972285123082
201,200,-200.0,-93.904526,0.3669624164301574
202,200,-200.0,-92.837875,0.36513673276632586
203,200,-200.0,-93.517624,0.3633201321057969
204,200,-200.0,-94.7839,0.36151256925949943
205,200,-200.0,-94.74949,0.35971399926318354
206,200,-200.0,-93.63847,0.35792437737630206
207,200,-200.0,-93.923256,0.3561436590808976
208,200,-200.0,-94.0756,0.3543718000804952
209,200,-200.0,-95.25245,0.35260875629900024
210,200,-200.0,-95.60455,0.3508544838796023
211,200,-200.0,-96.85654,0.3491089391836839
212,200,-200.0,-96.79695,0.34737207878973525
213,200,-200.0,-96.975784,0.34564385949227394
214,200,-200.0,-94.26701,0.3439242383007701
215,200,-200.0,-93.61013,0.3422131724385773
216,200,-200.0,-94.499435,0.340510619341868
217,200,-200.0,-95.16829,0.33881653665857514
218,200,-200.0,-94.85399,0.3371308822473385
219,200,-200.0,-94.287025,0.33545361417645625
220,200,-200.0,-93.34513,0.33378469072284206
221,200,-200.0,-93.23876,0.3321240703709872
222,200,-200.0,-95.133194,0.3304717118119276
223,200,-200.0,-95.83862,0.3288275739422165
224,200,-200.0,-96.939865,0.327191615862902
225,200,-200.0,-96.786255,0.3255637968785095
226,200,-200.0,-96.61744,0.3239440764960294
227,200,-200.0,-96.24959,0.3223324144239099
228,200,-200.0,-96.52653,0.3207287705710547
229,200,-200.0,-96.2719,0.3191331050458256
230,200,-200.0,-96.435486,0.31754537815505035
231,200,-200.0,-96.47294,0.3159655504030352
232,200,-200.0,-95.458206,0.3143935824905823
233,200,-200.0,-95.45897,0.31282943531401225
234,200,-200.0,-95.538124,0.31127306996419135
235,200,-200.0,-95.36143,0.30972444772556357
236,200,-200.0,-95.444405,0.3081835300751877
237,200,-200.0,-95.61208,0.3066502786817788
238,200,-200.0,-96.45183,0.30512465540475503
239,200,-200.0,-96.878525,0.3036066222932886
240,200,-200.0,-97.38821,0.30209614158536185
241,200,-200.0,-97.66782,0.30059317570682775
242,200,-200.0,-96.30454,0.2990976872704754
243,200,-200.0,-96.355385,0.29760963907509996
244,200,-200.0,-96.47225,0.2961289941045771
245,200,-200.0,-96.25873,0.2946557155269424
246,200,-200.0,-96.57715,0.2931897666934751
247,200,-200.0,-96.01932,0.29173111113778616
248,184,-184.0,-96.03214,0.29027971257491164
249,200,-200.0,-95.39635,0.28883553490040964
250,200,-200.0,-95.37567,0.28739854218946237
251,200,-200.0,-95.631065,0.2859686986959825
252,200,-200.0,-96.56783,0.28454596885172395
253,200,-200.0,-96.83811,0.283130317265397
254,200,-200.0,-97.5673,0.2817217087217881
255,200,-200.0,-97.43846,0.2803201081808837
256,200,-200.0,-96.752106,0.27892548077699875
257,200,-200.0,-96.029816,0.2775377918179092
258,200,-200.0,-96.055786,0.2761570067839893
259,200,-200.0,-96.35107,0.27478309132735257
260,163,-163.0,-95.88544,0.2734160112709976
261,200,-200.0,-96.25077,0.27205573260795785
262,200,-200.0,-95.22175,0.2707022215004556
